Format: Draw Number,Draw Date (yyyymmdd),Winning Number 1,2,3,4,5,6,Supplementary 1,2,Division 1,2,3,4,5,6
225,19830820,24,6,10,22,28,30,5,-
226,19830827,13,19,14,21,4,26,20,-
227,19830903,30,9,26,28,24,35,13,-
228,19830910,31,23,5,9,17,36,11,-
229,19830917,25,17,15,29,30,13,7,-
230,19830924,13,4,12,17,36,26,11,-
231,19831001,3,14,39,22,19,24,17,-
232,19831008,30,38,39,32,25,17,20,-
233,19831015,12,38,27,36,16,3,32,-
235,19831022,1,40,8,30,11,22,38,-
237,19831029,15,25,9,29,39,35,38,-
239,19831105,20,17,21,1,18,37,30,-
241,19831112,17,20,4,32,5,3,9,-
243,19831119,33,31,37,39,2,18,11,-
245,19831126,27,16,23,20,33,12,28,-
247,19831203,40,26,1,38,24,9,10,-
249,19831210,29,40,36,5,37,25,21,-
251,19831217,4,2,8,9,1,18,29,-
253,19831224,28,6,38,33,22,37,34,-
255,19831231,3,15,17,12,20,1,25,-
257,19840107,8,10,21,3,9,37,35,-
259,19840114,25,8,14,11,7,33,2,-
261,19840121,34,40,17,27,21,1,4,-
263,19840128,6,25,34,17,40,32,33,-
265,19840204,14,31,3,10,21,30,26,-
267,19840211,5,29,12,11,6,21,22,-
269,19840218,29,23,37,30,16,27,34,-
271,19840225,28,2,34,30,25,38,12,-
273,19840303,20,33,39,15,32,28,13,-
275,19840310,37,8,34,10,16,19,24,-
277,19840317,40,21,28,36,3,23,26,-
279,19840324,10,13,19,11,40,17,25,-
281,19840331,24,35,40,3,5,19,1,-
283,19840407,11,29,18,4,26,34,10,-
285,19840414,27,11,9,20,1,5,2,-
287,19840421,26,9,35,37,21,33,18,-
289,19840428,4,34,11,15,20,32,6,-
291,19840505,36,31,29,14,13,15,39,-
293,19840512,24,34,22,26,25,7,40,-
295,19840519,35,1,29,38,20,17,8,-
297,19840526,23,1,33,34,8,20,27,-
299,19840602,7,17,13,14,22,24,3,-
301,19840609,2,37,11,20,28,40,7,-
303,19840616,28,29,25,32,9,20,39,-
305,19840623,14,25,13,28,3,23,34,-
307,19840630,6,23,19,33,21,7,32,-
309,19840707,36,27,10,14,38,23,25,-
311,19840714,30,7,2,36,33,25,11,-
313,19840721,14,9,24,18,40,16,11,-
315,19840728,13,7,39,30,38,11,16,-
317,19840804,9,24,28,16,13,17,12,-
319,19840811,2,18,1,32,29,13,20,-
321,19840818,12,34,24,21,26,16,28,-
323,19840825,36,8,15,4,16,14,39,-
325,19840901,28,16,23,2,9,25,39,-
327,19840908,36,12,27,15,24,9,32,-
329,19840915,25,24,30,16,17,9,14,-
331,19840922,32,10,28,40,26,20,31,-
333,19840929,8,29,33,26,28,22,7,-
335,19841006,39,8,20,36,35,2,6,-
337,19841013,12,15,39,6,35,37,20,-
339,19841020,35,13,31,27,10,9,7,-
341,19841027,6,32,3,9,34,1,24,-
343,19841103,12,34,28,10,32,5,24,-
345,19841110,21,20,1,12,38,6,40,-
347,19841117,40,24,25,5,36,1,2,-
349,19841124,37,33,17,19,25,27,5,-
351,19841201,2,40,34,25,28,39,31,-
353,19841208,14,22,13,25,11,10,28,-
355,19841215,17,3,38,16,2,26,23,-
357,19841222,23,6,2,38,18,8,14,-
359,19841229,10,15,11,31,37,32,14,-
361,19850105,18,11,6,38,5,27,31,-
363,19850112,35,22,27,34,30,25,6,-
365,19850119,12,16,14,33,4,3,13,-
367,19850126,30,18,17,36,5,14,38,-
369,19850202,11,13,40,14,34,35,30,-
371,19850209,20,11,33,4,36,29,31,-
373,19850216,12,27,35,30,20,38,16,-
375,19850223,27,3,23,20,14,5,7,-
377,19850302,13,12,16,15,18,11,21,-
379,19850309,32,25,2,7,23,3,8,-
381,19850316,11,30,16,6,14,2,21,-
383,19850323,39,40,34,1,17,37,36,-
385,19850330,30,27,1,17,11,14,24,-
387,19850406,23,31,19,3,10,39,17,-
389,19850413,15,31,35,23,20,13,14,-
391,19850420,9,40,10,2,17,4,12,-
393,19850427,15,11,14,5,33,22,34,-
395,19850504,2,9,33,11,17,23,10,-
397,19850511,22,8,18,5,29,6,35,-
399,19850518,27,21,5,12,32,3,4,-
401,19850525,30,9,3,20,35,39,24,-
403,19850601,1,2,11,32,39,36,28,-
405,19850608,35,24,37,7,6,27,26,-
407,19850615,9,20,17,39,12,19,34,-
409,19850622,32,37,12,25,6,4,11,-
411,19850629,10,22,7,37,26,16,31,-
413,19850706,24,43,12,41,21,28,42,19
415,19850713,26,32,40,29,7,17,6,25
417,19850720,41,5,20,30,11,42,35,21
419,19850727,14,37,24,30,6,2,45,38
421,19850803,22,28,17,20,11,36,8,23
423,19850810,20,39,44,31,35,2,29,38
425,19850817,23,22,7,18,2,16,40,10
427,19850824,4,24,5,15,42,31,25,23
429,19850831,6,20,42,44,21,34,22,28
431,19850907,41,42,38,8,27,2,35,20
433,19850914,25,10,5,15,16,35,8,37
435,19850921,21,14,24,36,16,4,30,2
437,19850928,6,3,10,17,7,8,15,26
439,19851005,40,13,34,41,37,3,2,16
441,19851012,32,37,5,1,38,27,24,33
443,19851019,39,13,28,4,32,23,25,20
445,19851026,39,2,20,37,44,22,16,24
447,19851102,11,42,17,1,26,23,18,33
449,19851109,19,34,13,30,22,26,23,17
451,19851116,25,37,9,23,45,5,42,27
453,19851123,6,3,7,15,35,37,17,44
455,19851130,36,30,8,6,5,45,16,37
457,19851207,2,21,8,1,42,11,14,45
459,19851214,40,13,1,25,44,5,41,9
461,19851221,35,18,26,10,44,23,14,17
463,19851228,4,37,1,15,42,21,12,33
465,19860104,7,36,23,30,40,42,19,35
467,19860111,28,23,41,44,9,6,14,1
469,19860118,38,26,11,16,10,28,2,18
471,19860125,32,30,7,40,4,13,35,27
473,19860201,7,19,41,6,31,43,28,29
475,19860208,9,35,14,38,5,7,36,33
477,19860215,42,1,19,39,26,38,24,14
479,19860222,23,11,38,17,9,8,31,34
481,19860301,43,22,20,3,28,9,17,38
483,19860308,8,40,14,22,7,4,43,16
485,19860315,13,32,6,3,31,24,10,1
487,19860322,25,35,14,6,32,43,7,23
489,19860329,3,44,35,2,16,5,43,18
491,19860405,20,35,15,34,39,23,18,8
493,19860412,21,9,6,2,4,25,11,30
495,19860419,19,33,11,36,22,1,7,16
497,19860426,14,11,31,40,15,33,45,26
499,19860503,20,13,33,23,22,30,17,18
501,19860510,42,37,31,8,25,7,35,28
503,19860517,14,43,3,16,13,25,12,8
505,19860524,43,41,45,40,26,44,2,6
507,19860531,17,5,1,15,11,32,25,29
509,19860607,19,9,23,35,15,25,27,24
511,19860614,31,16,26,1,12,30,4,14
513,19860621,2,44,23,16,39,14,40,11
515,19860628,14,11,12,23,15,3,20,28
517,19860705,38,41,39,16,4,35,17,8
519,19860712,3,8,32,16,28,12,35,17
