Draw Number, Draw Date, Col1, Col2, Col3, Col4, Col5, Col6, Powerball, Div1, Div2, Div3, Div4, Div5, Div6, Div7, Div8
"44","19970320","28","24","14","20","29","-","42","$4,000,000.00","$69,378.00","$6,000.25","$112.40","$45.45","$19.80","$9.50"
"45","19970327","15","35","37","9","29","-","43","$540,533.52","$26,907.95","$4,290.95","$97.45","$54.70","$19.45","$10.20"
"46","19970403","10","43","32","8","7","-","38","$0.00","$55,513.80","$8,074.75","$122.70","$68.25","$22.75","$10.95"
"47","19970410","11","14","44","26","17","-","1","$0.00","$49,276.25","$6,214.15","$97.35","$55.05","$20.30","$10.00"
"48","19970417","5","38","29","3","23","-","8","$0.00","$38,993.40","$6,482.00","$95.45","$49.05","$17.20","$9.45"
"49","19970424","39","33","35","38","18","-","24","$0.00","$33,747.55","$7,052.55","$123.30","$47.15","$23.40","$10.85"
"50","19970501","39","19","29","44","12","-","17","$0.00","$32,934.50","$6,406.70","$89.95","$42.60","$19.70","$9.35"
"51","19970508","41","17","2","45","22","-","18","$9,000,000.00","$106,877.35","$5,354.30","$111.80","$58.70","$21.10","$11.30"
"52","19970515","21","9","32","18","29","-","10","$0.00","$62,527.30","$6,454.45","$100.80","$49.75","$19.40","$10.10"
"53","19970522","4","7","34","5","25","-","32","$0.00","$50,821.35","$9,956.85","$118.65","$53.55","$22.15","$9.45"
"54","19970529","3","8","10","26","14","-","37","$0.00","$30,977.45","$4,119.60","$97.60","$40.20","$20.80","$8.55"
"55","19970605","44","24","23","27","39","-","11","$0.00","$108,232.45","$8,246.30","$99.15","$57.70","$18.25","$10.90"
"56","19970612","45","4","1","34","5","-","21","$7,000,000.00","$71,204.95","$4,725.10","$105.25","$58.70","$19.70","$10.75"
"57","19970619","28","4","25","13","36","-","27","$1,088,951.69","$58,173.35","$5,031.20","$94.95","$42.60","$18.20","$9.20"
"58","19970626","36","27","23","12","5","-","4","$0.00","$22,453.15","$4,105.70","$88.70","$37.20","$18.10","$8.50"
"59","19970703","22","30","21","42","24","-","31","$0.00","$38,534.90","$8,425.00","$119.60","$61.50","$21.15","$11.15"
"60","19970710","20","21","36","28","26","-","19","$0.00","$37,439.95","$4,278.85","$84.10","$46.85","$17.90","$9.05"
"61","19970717","40","16","38","21","43","-","33","$5,000,000.00","$104,951.40","$4,136.00","$116.85","$58.25","$22.75","$11.40"
"62","19970724","25","19","10","23","13","-","22","$0.00","$28,808.10","$2,751.80","$89.10","$34.35","$18.40","$7.95"
"63","19970731","12","40","7","25","37","-","22","$0.00","$53,703.75","$5,455.60","$115.70","$56.75","$21.90","$10.65"
"64","19970807","2","37","36","35","38","-","39","$0.00","$53,840.25","$1,054.85","$118.70","$46.55","$23.50","$11.90"
"65","19970814","5","38","36","2","7","-","27","$0.00","$53,193.55","$5,789.75","$93.75","$56.00","$17.85","$10.35"
"66","19970821","7","14","16","41","36","-","29","$7,000,000.00","$54,416.55","$6,363.65","$101.60","$57.10","$18.85","$11.15"
"67","19970828","5","6","29","37","36","-","12","$0.00","$36,894.05","$4,417.25","$94.35","$56.35","$17.95","$10.40"
"68","19970904","2","35","12","39","1","-","40","$0.00","$61,453.45","$6,145.35","$103.60","$63.20","$20.25","$11.25"
"69","19970911","30","7","9","33","43","-","8","$0.00","$60,113.10","$6,870.05","$101.15","$56.90","$18.65","$10.55"
"70","19970918","33","45","22","29","30","-","10","$5,000,000.00","$127,966.15","$5,999.90","$103.95","$67.00","$19.85","$11.05"
"71","19970925","18","31","21","13","38","-","30","$0.00","$39,328.25","$5,992.90","$107.40","$46.90","$20.70","$9.25"
"72","19971002","37","39","14","35","8","-","32","$0.00","$51,716.05","$7,565.30","$121.50","$61.35","$24.40","$11.00"
"73","19971009","6","15","23","14","18","-","25","$0.00","$65,887.85","$4,054.65","$88.80","$47.70","$18.70","$9.45"
"74","19971016","1","22","15","45","38","-","38","$0.00","$58,544.00","$7,646.55","$134.90","$57.45","$24.85","$11.55"
"75","19971023","39","12","41","7","45","-","34","$0.00","$79,706.45","$6,712.10","$120.70","$58.35","$23.55","$11.15"
"76","19971030","22","28","20","8","10","-","43","$0.00","$37,743.85","$5,309.05","$99.10","$40.75","$19.95","$8.60"
"77","19971106","32","2","3","4","39","-","44","$0.00","$87,677.90","$5,865.55","$115.90","$65.85","$20.65","$11.10"
"78","19971113","13","33","5","15","19","-","11","$15,344,223.64","$43,969.15","$3,893.75","$83.90","$43.50","$17.85","$9.10"
"79","19971120","43","35","37","9","27","-","3","$0.00","$79,193.45","$5,716.20","$95.60","$50.05","$20.60","$9.85"
"80","19971127","7","4","5","41","22","-","24","$0.00","$120,708.80","$5,808.55","$107.15","$57.60","$20.55","$9.85"
"81","19971204","44","3","5","31","12","-","29","$0.00","$89,487.35","$4,909.00","$96.15","$52.70","$19.20","$9.80"
"82","19971211","3","23","10","44","14","-","7","$0.00","$75,793.75","$6,218.95","$89.45","$55.00","$17.20","$10.25"
"83","19971218","10","32","16","17","22","-","43","$0.00","$55,248.80","$7,577.00","$115.80","$57.20","$21.60","$10.55"
"84","19971225","15","7","22","35","40","-","45","$9,384,113.07","$45,378.75","$5,744.65","$94.15","$50.55","$18.60","$10.10"
"85","19980101","20","19","11","15","8","-","43","$0.00","$35,654.85","$3,984.30","$82.95","$36.75","$17.75","$8.05"
"86","19980108","2","32","31","15","16","-","26","$0.00","$36,745.10","$6,239.15","$113.80","$56.85","$21.45","$11.30"
"87","19980115","15","30","4","21","13","-","10","$0.00","$58,125.35","$2,717.55","$84.40","$43.60","$17.80","$8.95"
"88","19980122","5","34","40","12","11","-","7","$0.00","$73,047.85","$6,071.50","$93.45","$57.25","$17.70","$10.45"
"89","19980129","2","43","28","12","13","-","26","$0.00","$87,700.55","$4,581.90","$100.70","$48.15","$19.40","$9.70"
"90","19980205","21","16","6","26","12","-","32","$0.00","$26,008.25","$3,963.15","$100.45","$39.15","$21.35","$9.25"
